Sooo Manti Te'o was having a online/phone relationship with a guy pretendingto be a female -_-	Manti Te'o was having a relationship via telephone/internet with a man pretending to be female.	Manti Te'o was talkin' on the phone or computer with some fella pretendin' to be a gal.
saw u handling them bills today in u no where early.....lol....same shit homie.....1.....chicks always lookn for a pay day	I saw you handling that money today, in \"you know where\" early today... That's funny... Same shit man, one thing only. Girls are lookingfor someones money	I seen ya dealin' with them dollars today, down at "you know where" real early today... That's a hoot... Same old stuff, just one thing. Women be lookin' for someone's money.
coach trestman is just what the dr ordered 4 my BEARS! We owe minny 4 that crappy loss 2 themlast yr. Let's Go Bears!	Coach Trestman is just what the doctor ordered for my Bears! We owe Minneapolise for that crappy loss to themlast year. Let's go, Bears	Coach Trestman's exactly what the doctor prescribed for my Bears! We're indebted to Minneapolis for that rotten loss to 'em last year. Let's get this show on the road, Bears!
I think you'd be lucky to get 5k, but even then what car would you get that's better thanthe one you have now?	I think you'd be lucky to get $5000, but even then, what car would you get that's better thanthe one you have now	I reckon you'd be mighty fortunate to fetch five figgers, but even so, what sorta car would ya end up with that's superior to the one you're drivin' now?
Attention: All Mets fans send out tweets as much as possible 4 Cuban 1b Jose Abreu thisoffseason 2 become a Met	Attention: All Mets fans send out Tweets as much as possible for Cuban. 1: Be Jose Abreu thisoffseason. 2: Become a Met	Attention all Mets supporters, y'all need to be tweetin' as much as you can do for Cuban. Here's what I mean: 1: Act like Jose Abreu did this off-season. 2: Turn yourself into a Met fan.
and I know u see me & his daddy textin u u r wrong for tht shit I hope u r think in twice and I hope uknow wht u r doin,,,	I know you have seen me texting his dad. You are wrong for acting that way and I hope you will reconsider.I hope you know what you are doing	I reckon you's seen me texin' his daddy. It ain't right for you to be actin' that way, and I sure do hope you'll give it some thought again. I do hope you knows what you's about.
Why Tf Would U Call Him Mf I Just Said He Didnt Put ItIn Dere Dam Just stfu	Why the fuck would you call him motherfucker? I just said he did not put itIn there, damn, just shut the fuck up.	Why in the world you ask me why I called him a motha-fucka? All I said was that he didn't put it in there, dang it! Just hush now.
andruz & kinsler r signed long term. I'll give u C Travis d'Arnaud & OF CesarPuello 4 SS Jurickson Profar.	Andruz and Kinsler signed for the longterm. I will give you Travis d'Arnaud and Cesar Puello for SS Jurickson Profa	Andruz and Kinsler signed on for the long haul. I'm givin' ya Travis d'Arnaud and Cesar Puello for the SS position, instead of Jurickson Profar.
Today calls for relaxation, pampering, eating.. a lot.. And sleeping morethan 3 hours a night	Today calls for relaxation, pampering, and eating. A lot. And sleeping morethan three hours at night	Today's all about relaxin', gettin' pampered, and eatin'. A whole lot. And catchin' some Z's, more than three hours at a time.
Aye My Girl My Girl she loves me. She hit me all the time my phone beringing of the hook like.	Hey, my girl, my girl, she loves me. She hits me all the time, my phone is ringing off the hook	Hey, my sweetheart, my honey, she's sure lovin' me. She's always whackin' me, my phone's goin' wild with calls comin' in left and right.
Watchu knoe bout stuffin bandz in a cerial box Tellin young'ns lemme know if theysee cops on the block	What do you know about stuffing bands in a cereal box? Telling children; \"Let me know if yousee cops on the block.\"	What ya know 'bout shovelin' bands into them cereal boxes? Tellin' kids, "Let me know if y'all see cops hangin' out on the corner."
HONESTLY,I REALLY DON'T GAF ABOUT WHAT YOU THINK OF THE MUSIC I LIKE....YEAH I GUESS IM LAME CAUSE IONREALLY LIKE 2 CHAINZ?? DAFUQ...	Honestly, I really don't give a fuck about what you think of the music I like. Yeah, I guess I'm lame because I don'treally like 2 Chainz? What the fuck	Honest to God, I truly don't care a whit 'bout what you reckon 'bout the tunes I favor. Yessiree, I suppose I'm a bit square 'cause I don't really dig 2 Chainz? What the fuck is wrong with me?
Tuh the people that talk to me tha most, QUOTE THIS WITH THEFUNNIEST THING I'VE EVA SAID.	To the people that talk to me the most, quote this with the funniest thing that I've ever said	Folks what talks to me the most, y'all quote this and share the funniest thing I ever said, an' believe me, it was a real hoot!
"BITCH I HOPE THE FUCK U DO YOU'LL BE A DEAD SON OF AH BITCHILL TELL YEW DET!!" LMFAOOOOOOOOOOOOOO	Bitch, I fucking hope you do. You'll be a dead son of a bitch,I'll tell you that! I'm laughing	By golly, I sure do hope you will, you'll be as dead as a doornail, let me tell ya! I'm just laughin' my head off here.
Marriage isn't for you. You don’t marry to make yourself happy, you marryto make someone else happy.	Marriage isn't for you. You don't have to marry to make yourself happy, you marryto make someone else happy	Marriage ain't for you. You don't gotta tie the knot to make yerself happy, ya do it to make somethin' else happy.
I believe in the millions of possibilities in this world but pleasingeverybody isn't one of them	I believe in the millions of possibilities in this world, but pleasingeverybody isn't one of them	I believe in all the millions of chances this whole wide world has got to offer, but makin' everybody happy just ain't one of 'em.
Marriage isn’t for yourself, you’re marrying for a family. Not just for the in-laws and all of that nonsense,but for your future children.	Marriage isn't for yourself, you're marrying for a family. Not just for the in-laws and all of that nonsense,but for your future children	Marriage ain't 'bout yaself, ya'll be marryin' fer a fam'ly. Ain't just 'bout them in-laws an' all that hooey, but 'bout yer future chilluns.
Ill do all day if I could, put a lumber jack onand give you the wood.	I'll do all day if I could. Put a lumber jack onand give you the wood	I'd do it all day long if I could. Just put a log chopper on and I'll give you the firewood.
People got 20/20 vision when it comes to YOUR problems, but be RayCharles to their own bullshit!"	People have 20/20 vision when it comes to you're problems, but they're as blind as RayCharles to their own bullshit	Folks got real clear vision 'bout your mishaps, but they's as clueless as Ray Charles when it comes to their very own hooey.
If another person say I look like Ceaser from Black Ink immasmack the shit outta them	If another person says I look like Ceaser from \"Black Ink\" Im going tosmack the shit out of them	If another person tells me I look like Ceaser from "Black Ink", I'm gonna give 'em a good wallop.
I swear yo if we get this ok on the bowl game shit gonna get real dark n scary fast forwhoever we play I promise!	I swear that if we win this bowl game, it's going to by intimidating towhoever we play against, I promise	I swear to God, if we wins this here bowl game, it's gonna be right intimidatin' to whoever we plays against. I promise.
you see this .. "hey mar my baby , I miss you" I miss you too.	You see this: \"Hey, mar, my baby, I miss you.\"\"I miss you too.\	Y'all see this: "Hey, mar, my baby, I miss ya. ""I miss you too.""
Well I worked all summer couldn't save a cent. Gave allmy money to the government.	I worked the whole summer and have nothing to show for it. I had topay taxes with all of it	I worked my tail off the whole summer an' didn't have nothin' to show for it. Had to pay them taxes on every last penny of it.
